"nome","descricao","preco","quantidade"
"Chopp Brahma (350ml) (happy hour). Preço válido para as segundas feiras","","4.99","50"
"Camarão Lêdulce 2P ( happy hour ). preço válido para as segundas feiras.","Camarões servidos sobre arroz cremoso com ervilhas e\r\npresunto, envolvido ao molho branco. Gratinado com\r\nqueijos mussarela. Acompanha batata palha.","74.9","50"
"Chopp Brahma (360ml) (happy hour)","","6.9","50"
"Cozumel ( happy hour )","","9.9","50"
"Caipirinha de Limão ( happy hour )","","9.9","50"
"GT Clássico ( happy hour )","Gin, limão siciliano, alecrim, tônica","19.9","50"
"Soda Italiana ( happy hour )","Maçã verde, tangerina e granadine.","16.9","50"
"Cerveja spaten 600ml. (Happy hour)","","9.9","50"
"Carpaccio com molho de mostarda (Happy hour)","Lâminas de lagarto com molho de mostarda, rúcula, parmesão ralado - Acompanha torradinhas.","39.9","50"
"Cerveja Original (600ML) ( happy hour )","Proibido ser servida em balde com gelo.\r\nConsumo no local.","9.9","50"
"Camarão crocante c/ alho ( happy hour )","Camarões com casca fritos e servidos com alho e limão.","69.9","50"
"Croquete de queijo e bacon ( happy hour )","8 unidades.","34.9","50"
"Pastéis LêDulce  ( Carne ou queijo) ( happy hour )","8 UNIDADES","34.9","50"
"Frango a passarinho ( happy hour )","Cortes de frango fritos, servidos com alho e cebola crispy.","39.9","50"
"Filé a milanesa c/ batatas fritas.","","89.9","50"
"Isca de tilápia ( happy hour )","Iscas de tilápia empanadas na farinha Panko.\r\nAcompanha molho da casa.","49.9","50"
"Strogonoff de Frango","","34.9","50"
"Parmegiana de Frango","","39.9","50"
"Parmegiana de Filé","","49.9","50"
"Picanha","","69.9","50"
"Salmão","","69.9","50"
"Filé de Frango","","34.9","50"
"Tilápia","","42.9","50"
"Picanha Suína","","39.9","50"
"Contra-Filé ","","49.9","50"
"Ancho ","","49.9","50"
"Carne de Sol","","44.9","50"
"Camarão caipira","Camarão com bacon e milho ao molho branco. ","47.9","50"
"Strogonoff de Camarão","","47.9","50"
"Parmegiana de Tilápia","","44.9","50"
"Tilápia ao molho de Camarões","","54.9","50"
"Picadinho de Filé Mignon","","45.9","50"
"Rodízio  R$89,90 por pessoa","","89.9","50"
"Carpaccio com molho de mostarda","Lâminas de lagarto com molho de mostarda, rúcula, parmesão ralado - Acompanha torradinhas.","49.9","50"
"Small de frios","Tábua de frios com queijo provolone, presunto, salame, tomates cereja, azeitonas e palmito.","49.9","50"
"Ceviche de Tilápia ","Cubos de tilápia marinados no suco de limão, suco de laranja , temperados com pimentões coloridos, cebola roxa, pimenta dedo de moça, leite de coco e coentro.","39.9","50"
"Escondidinho de camarão ","","39.9","50"
"Escondidinho de carne seca","","29.9","50"
"Carta fechada  (8 unid)","Pastéis recheados com linguiça mineira, queijo e couve. Servidos com geleia de pimenta.","45.9","50"
"Pastéis de Camarão - 8 unidades","Pastéis recheados com creme de camarão ","49.9","50"
"Pastéis LêDulce - 8 unidades","Carne ou queijo acompanhado de maionese defumada.","44.9","50"
"Arancini de Camarão. (6 unid)","Bolinho de risoto recheado com camarão e queijo. Servidos com molho de goiabada picante. ","59.9","50"
"Croquete de queijo e bacon. (8 unid)","Acompanha molho rose.","39.9","50"
"Croc Chicken - 8 unidades","Bolinhos de frango crocantes recheados com queijo cremoso - Acompanha molho barbecue.","44.9","50"
"Bolinho de Bacalhau","10 unidades de bolinho de bacalhau acompanhado de molho tártaro.","59.9","50"
"Isca de Tilápia","Iscas de peixe empanadas, acompanha molho tártaro.","59.9","50"
"Isca de Frango","Iscas de Frango empanadas, acompanha molho da casa.","49.9","50"
"Torresminho c mandioca ","","49.9","50"
"Batata Frita com Cheddar e Bacon","","39.9","50"
"Batata Frita com Filé Mignon","Batata frita com 150gr de filé mignon com molho especial de queijo","49.9","50"
"Batata Frita Tradicional com Ketchup","","35.9","50"
"Camarão Alho e Óleo S/Casca","","89.9","50"
"Carne de Sol com Mandioca","","119.9","50"
"Picanha com Mandioca","500gr de picanha em bife com mandioca cozida ou frita ","159.9","50"
"Costelinha Suína","Baby ribs ao molho barbecue acompanhado de batata rústica.","69.9","50"
"Steack angus c/ manteiga de café de paris","Steak angus ( steaks do coração da paleta ) grelhados servidos sob manteiga de ervas. Acompanha arroz a lionese (cebola juliene, ervilha e salsinha) e batatas fritas.","159.9","50"
"Filé ao alho com brócolis","Filé mignon grelhado, acompanhado de brócolis, banana empanada e  batatas rústicas.","129.9","50"
"Filé ao molho de Gorgonzola","Filé Mignon ao molho de queijo gorgonzola. Acompanha arroz de brócolis e batata frita","139.9","50"
"Filet au Poivre","Filé regado ao molho de pimenta acompanhado de arroz piamontese e batatas gratinadas.","129.9","50"
"Escalope de filé ao molho de vinho","Escalope de filé grelhado, regado ao molho de vinho. Servido com talharim ao molho Alfredo ( creme de leite, parmesão e raspas de limão siciliano )","149.9","50"
"Medalhão de Filé ao molho mostarda","Medalhões de filé mignon envoltos em bacon, regados com molho de mostarda e servidos com arroz branco e batatas recheadas.","139.9","50"
"Medalhão de filé ao molho fungi","Medalhões de filé envoltos no bacon, regados ao molho fungi. Servidos com risoto de parmesão.","159.9","50"
"Parmê da Lê de Filé","Acompanha arroz e fritas.","99.9","50"
"Parmê da Lê de Frango","Acompanha arroz e fritas.","89.9","50"
"Frango à Kiev","Frango empanado, recheado com queijo e presunto acompanhado\r\nde arroz cremoso com açafrão e batata chips","89.9","50"
"Frango crocante","Filé de frango grelhado em crosta de pão, servido sobre cama de creme de brócolis e gorgonzola. Acompanha espaguete ao molho de sálvia.","99.9","50"
"Carne de sol cremosa","Carne de sol desfiada ao molho bechamel sobre arroz de leite com cubos de queijo coalho e gratinada .","89.9","50"
"Bacalhau à Moda do Chefe","Bacalhau grelhado servido com a cama de pimentões, purê de batata acompanhado de arroz de alho.","159.9","50"
"Salmão ao molho de amêndoas","Salmão grelhado e regado ao molho de amêndoas. Acompanha risoto de parmesão e legumes salteados.","159.9","50"
"Peixe a Belle Meunièrie","Peixe grelhado servido com molho à Belle Meunière acompanhado de arroz com brócolis \r\ne purê de batatas.","159.9","50"
"Peixe à delícia","Peixe grelhado servido ao molho bechamel, banana frita e gratinado com queijo. acompanha Arroz branco e purê de batatas.","119.9","50"
"Pirarucu ao molho de Alcaparras","Pirarucu grelhado ao molho de alcaparras,  servido com arroz de leite de Coco e salada.","109.9","50"
"Bacalhau à Gomes de Sá","Lascas de bacalhau refogadas no azeite acrescidos com alho, cebola, azeitonas pretas, batata e ovo.  Acompanha arroz branco.","139.9","50"
"Salmão Grelhado","Salmão grelhado com molho de maracujá e mix de legumes grelhados.","179.9","50"
"Peixe do sertão","Pescada amarela grelhada, gratinada com queijo coalho e rapadura. Servido com baião de dois cremoso e purê de batatas.","149.9","50"
"Peixe grelhado","Pescada amarela grelhada, servida com arroz com brócolis e purê de batatas.","109.9","50"
"Anchova assada a moda do chef","Anchova assada, regada ao molho de uvas, alcaparras e champignon. Servido com Arroz de amêndoas e legumes salteados.","139.9","50"
"Robalo ao molho de manga","Filé de robalo empanado com gergelim, servido sobre molho de manga. Acompanha arroz a grega e batata chips.","139.9","50"
"Moqueca LêDulce de Filé de Peixe","Acompanha arroz branco e pirão.","169.9","50"
"Moqueca à brasileira","Moqueca de filé de pescada amarela, com repolho, batata, cenoura e ovos cozidos. Servida com arroz branco e pirão.","149.9","50"
"Moqueca de robalo","Moqueca de posta de robalo com pimentões, cebola, tomate, leite do coco e dendê. Acompanha arroz branco e pirão.","139.9","50"
"Camarões na abóbora","Camarões refogados com pimentões, cebola, tomate e creme de abóbora. Servido com arroz de brócolis e purê de batatas.","129.9","50"
"Camarões no coco","Camarões refogados com tomates, cebola, leite de coco e molho bechamel, servidos no próprio coco. Acompanha Arroz branco e batatas sauté.","129.9","50"
"Camarão ao alho poró","Filé de camarão refogado com alho poró, champignon,  vinho branco e molho bechamel. Acompanha arroz branco e batata chips.","99.9","50"
"Paella","Camarões, Lula, Peixe, Polvo, Mexilhões com e sem casca.","229.9","50"
"Mix de Frutos do Mar Grelhados","Mexilhão sem casca, Camarões, Lula, Cauda de Lagosta, Filé de peixe, Polvo, Mexilhões com casca, Tomate. Acompanha arroz apimentado.","249.9","50"
"Flat iron","O flat iron vem da região do ombro do boi, também conhecida como paleta, e é conhecido pela sua maciez e sabor incrível.\r\n*Paleta fina, sem gordura*\r\nEscolha 2 guarnições.","59.9","50"
"Carne de Sol","","49.95","50"
"Arroz Biro Biro","","9.9","50"
"Arroz Piamontese","","9.9","50"
"Farofa de Ovos","","9.9","50"
"Feijão Tropeiro","","9.9","50"
"Feijão Carioca","","9.9","50"
"Mandioca","","9.9","50"
"Batata Frita","","9.9","50"
"Purê de Batatas","","9.9","50"
"Legumes Salteados","","9.9","50"
"Salada Juliana","Alface americana, cenoura, tomate, palmito, batata palha, queijo\r\nparmesão e molho de mostarda, maionese e mel.","29.9","50"
"Salada LêDulce","Folhas de rúcula, alface americana, lascas de frango defumado, nozes e molho ‘’da chefe’’ com azeite, mostarda, limão, sal e parmesão ralado.","34.9","50"
"Salada tropical com camarões","Mix de folhas, cenoura, tomate cereja, abacaxi grelhado, castanha de caju, camarões grelhados e molho de mostarda e mel.","45.9","50"
"Talharim LêDulce","Talharim a carbonara. \r\n\r\nAlérgicos: contém ovo e bacon. ","39.9","50"
"Espaguete com camarões ao sugo","","49.9","50"
"Espaguete com camarões ao molho branco","","49.9","50"
"Risoto de Filé","","49.9","50"
"Risoto de Camarão","","59.9","50"
"Risoto de carne de sol","","45.9","50"
"Polvo ao molho pesto c/ risoto negro","Tentáculos de polvo grelhados e regados ao molho pesto de manjericão. Acompanha risoto negro de parmesão.","89.9","50"
"Risoto camarão ao alho poró","","59.9","50"
"LêDulcinha de Frango","Filezinho de frango empanado, arroz branco, feijão carioca e fritas.","29.9","50"
"LêDulcinha de Carne","Filezinho de mignon, arroz branco, feijão carioca e fritas)","29.9","50"
"LêDulcinha de Massa","Espaguetinho ao molho sugo com carne moída.","29.9","50"
"ESPAGUETE DE ABOBRINHA AO MOLHO SUGO DE CASA E CRÓTONS DE CARNE DE SOJA","","29.9","50"
"LASANHA DE BERINJELA COM PALMITO","","29.9","50"
"Churros com Doce de Leite","","29.9","50"
"Cocada LêDulce com sorvete","","24.9","50"
"Cheesecake de frutas vermelhas","Torta de queijo e calda de frutas vermelhas.","29.9","50"
"Pudim","Pudim de leite condensado","14.9","50"
"Suspiro Lêdulce","Creme de ninho em camadas com geleia de morango e suspiros.","29.9","50"
"Petit Gatêau de Chocolate","Bolinho cremoso de chocolate acompanhado de sorvete de creme.","24.9","50"
"Baked gelaska","Sorvete de creme recheado com geleia de morango e merengue suíço flamejado no topo.","25.9","50"
"Refrigerantes","","7.9","50"
"Suco Detox","Couve com Laranja e Gengibre (500ML)\r\nOu\r\nAbacaxi, Água de coco e Hortelã (500ML","15.9","50"
"Soda Italiana","Frutas Vermelhas, Maçã Verde ou Tangerina","22.9","50"
"Água com gás","","7.9","50"
"Água sem gás","","6.9","50"
"Água de Côco","","9.9","50"
"Água Tônica","","7.9","50"
"Schweppes Citrus","","7.9","50"
"Café Expresso","","5.9","50"
"H2O / H2O Limoneto","","9.9","50"
"Amstel","","14.9","50"
"Antárctica Original","","14.9","50"
"Brahma Duplo Malte","","14.9","50"
"Budweiser","","14.9","50"
"Stella Artois","","15.9","50"
"Heineken","","17.9","50"
"Chopp Brahma (350ML)","","10.9","50"
"Cervejas 0,00 Álcool","","11.9","50"
"Preparo do Cozumel","","10.9","50"
"Limão Espremido","","2.9","50"
"Budweiser","","11.9","50"
"Corona Extra","","12.9","50"
"Heineken","","11.9","50"
"Stella Artois","","11.9","50"
"Pina Colada","Rum Bacardi, purê de côco e suco de abacaxi","23.9","50"
"Mojito Clássico","Rum Bacardi xarope simples, hortelã, suco de limão e água com gás","22.9","50"
"Cozumel","375 ml cerveja ou chopp, suco de limão, gelo e sal na borda do copo","21.9","50"
"Cuervo Margarita","Tequila, licor Cointreau , suco de limão","23.9","50"
"Aperol Spritz","Aperol, Espumante, Laranja,bahia, água com gás","27.9","50"
"Refresco","Monin Gengibre, suco limão, Monin maça verde,\r\nAgua com gás, rodelas limão siciliano","19.9","50"
"GT Red","Monin cranberry, hibisco desidratado, limão siciliano, tônica","19.9","50"
"Verão","Monin chá verde, Monin cranberry, rodela limão taiti, água com \r\ngás","19.9","50"
"Caipirinha","Limão, Abacaxi, Abacaxi c/ Hortelã, Frutas Vermelhas, Morango, Maracujá, Cítrico*, Cajú*, Cajá*, Jabuticaba*\r\n\r\n*Verificar Disponibilidade","19.9","50"
"Sake","","19.9","50"
"Arco Íris","Sorvete morango, amora, leite, calda blue,\r\nleite condensado","19.9","50"
"Negroni","Gin, vermouth rosso, campari e laranja","27.9","50"
"TriLêgal","Tequila, cointreau, limão, cranberry, curaçau blue e maçã verde.","25.9","50"
"Clericot","Espumante rosê, suco de laranja, cranberry, morango e maçã verde.","24.9","50"
"Snow","Tequila, suco de limão, curaçau blue e licor fino de pêssego.","25.9","50"
"Rose","Rum, suco de limão e xarope de toranja.","24.9","50"
"Lemon ","Energético monster ice tea lemon, xarope de maçã verde, sumo de limão, alecrim.\r\n\r\n\r\n\r\n","30.9","50"
"Peach","Energético monster ice tea peach, melaço de cana, sumo de limão","24.9","50"
"Caipirinha do sertão ","Caipirinha feita com cachaça 51, limão e rapadura.","22.9","50"
"Campari","","11.9","50"
"Martini Bianco","","11.9","50"
"Rum Bacardi","","11.9","50"
"Tequilo Jose Cuervo Especial GOLD","","18.9","50"
"Tequilo Jose Cuervo Especial SILVER","","18.9","50"
"Cachaça São Francisco","","9.9","50"
"Cachaça Seleta","","9.9","50"
"Cachaça de Banana","","10.9","50"
"Cachaça Germana","","14.9","50"
"Cachaça Vale Verde","","13.9","50"
"Cachaça Sagatiba","","9.9","50"
"Cachaça ParaTudo","","7.9","50"
"Chivas Regal","","22.9","50"
"Jack Daniel's","","22.9","50"
"Johnnie Walker Black Label","","24.9","50"
"Johnnie Walker Red Label","","19.9","50"
"Old Parr","","22.9","50"
"Absolut","","19.9","50"
"Smirnoff","","14.9","50"
"Tanqueray","","20.9","50"
"Amarula","","19.9","50"
"Cointreau","","19.9","50"
"Licor 43","","19.9","50"
"Red Bull","","15.9","50"
"Combo Smirnoff + 6 red bull","","179.9","50"
"Combo Absolut + 6 red bull","","249.9","50"
"Combo Tanqueray + 6 red bull","","299.9","50"
"Combo Chivas + 6 red bull","","349.9","50"
"Combo Old par + 6 red bull","","349.9","50"
"Combo Jack Daniel's + 6 red bull","","349.9","50"
"Combo Red Label + 6 red bull","","269.9","50"
